bic_margin,family,replicates,n,chi_admitted,chi_refused,chi_admission_rate,median_chi_when_admitted
0.0,white,200,1200,0,200,0.0,
0.0,ar1,200,1200,1,199,0.005,1.5762089462278839
0.0,garch,200,1200,3,197,0.015,0.6622629277774069
0.0,stochastic_volatility,200,1200,5,195,0.025,0.588816894285629
0.0,jumps,200,1200,1,199,0.005,0.8680791091842597
0.0,regime_ar1,200,1200,0,200,0.0,
0.0,ar2_complex,200,1200,200,0,1.0,0.23944167655715815
0.0,ar2_real,200,1200,200,0,1.0,1.2296149286594575
2.0,white,200,1200,0,200,0.0,
2.0,ar1,200,1200,1,199,0.005,1.5762089462278839
2.0,garch,200,1200,0,200,0.0,
2.0,stochastic_volatility,200,1200,3,197,0.015,0.588816894285629
2.0,jumps,200,1200,1,199,0.005,0.8680791091842597
2.0,regime_ar1,200,1200,0,200,0.0,
2.0,ar2_complex,200,1200,200,0,1.0,0.23944167655715815
2.0,ar2_real,200,1200,200,0,1.0,1.2296149286594575
4.0,white,200,1200,0,200,0.0,
4.0,ar1,200,1200,0,200,0.0,
4.0,garch,200,1200,0,200,0.0,
4.0,stochastic_volatility,200,1200,3,197,0.015,0.588816894285629
4.0,jumps,200,1200,0,200,0.0,
4.0,regime_ar1,200,1200,0,200,0.0,
4.0,ar2_complex,200,1200,200,0,1.0,0.23944167655715815
4.0,ar2_real,200,1200,200,0,1.0,1.2296149286594575
6.0,white,200,1200,0,200,0.0,
6.0,ar1,200,1200,0,200,0.0,
6.0,garch,200,1200,0,200,0.0,
6.0,stochastic_volatility,200,1200,3,197,0.015,0.588816894285629
6.0,jumps,200,1200,0,200,0.0,
6.0,regime_ar1,200,1200,0,200,0.0,
6.0,ar2_complex,200,1200,200,0,1.0,0.23944167655715815
6.0,ar2_real,200,1200,200,0,1.0,1.2296149286594575
8.0,white,200,1200,0,200,0.0,
8.0,ar1,200,1200,0,200,0.0,
8.0,garch,200,1200,0,200,0.0,
8.0,stochastic_volatility,200,1200,2,198,0.01,0.7034833639396321
8.0,jumps,200,1200,0,200,0.0,
8.0,regime_ar1,200,1200,0,200,0.0,
8.0,ar2_complex,200,1200,200,0,1.0,0.23944167655715815
8.0,ar2_real,200,1200,200,0,1.0,1.2296149286594575
10.0,white,200,1200,0,200,0.0,
10.0,ar1,200,1200,0,200,0.0,
10.0,garch,200,1200,0,200,0.0,
10.0,stochastic_volatility,200,1200,2,198,0.01,0.7034833639396321
10.0,jumps,200,1200,0,200,0.0,
10.0,regime_ar1,200,1200,0,200,0.0,
10.0,ar2_complex,200,1200,200,0,1.0,0.23944167655715815
10.0,ar2_real,200,1200,200,0,1.0,1.2296149286594575
12.0,white,200,1200,0,200,0.0,
12.0,ar1,200,1200,0,200,0.0,
12.0,garch,200,1200,0,200,0.0,
12.0,stochastic_volatility,200,1200,1,199,0.005,0.8575930684142348
12.0,jumps,200,1200,0,200,0.0,
12.0,regime_ar1,200,1200,0,200,0.0,
12.0,ar2_complex,200,1200,200,0,1.0,0.23944167655715815
12.0,ar2_real,200,1200,200,0,1.0,1.2296149286594575
